# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 0. 1.2 50
# ptlow ptup value err
0. 0.5 1.42713064516129 0.3507817149697721
0.5 1. 3.987022580645161 1.3135753360337574
1. 1.5 5.982747983870967 3.097012142818465
1.5 2. 7.345689516129031 9.544394930608739
2. 2.5 8.337738709677419 18.288340641629357
2.5 3. 9.337669354838708 25.19507844781449
3. 3.5 9.77859516129032 28.740385743564282
3.5 4. 9.715749193548385 28.97279410793825
4. 4.5 9.266014112903225 26.869187079107096
4.5 5. 8.426563709677417 23.21745927663643
5. 5.5 7.457187499999999 18.89763081882934
5.5 6. 7.248447983870967 16.90928186485447
6. 6.5 6.342162499999999 13.211858211453995
6.5 7. 5.513286693548387 10.204471761335919
7. 7.5 4.946589516129031 7.9734173305738505
7.5 8. 4.3879883064516125 5.960573507040273
8. 8.5 3.790385887096774 4.202537567736722
8.5 9. 3.3070499999999994 3.0580775895233274
9. 9.5 2.9025669354838706 2.2848716610820676
9.5 10. 2.5112302419354835 1.7454669631533768
10. 11. 1.98081814516129 1.1763378193556155
11. 12. 1.4448737903225806 0.7293995255687886
12. 13. 1.1180362903225805 0.47841341209376154
13. 14. 0.8170737903225805 0.30763717154912124
14. 15. 0.657370564516129 0.22390310531649485
15. 16. 0.49724516129032253 0.1541454676622052
16. 17. 0.38373870967741924 0.10975867733839133
17. 18. 0.2959177419354838 0.07895567665680059
18. 19. 0.22991129032258062 0.056459428253651196
19. 20. 0.1804907258064516 0.04185744216606198
20. 21. 0.1449697580645161 0.03183244856495049
21. 22. 0.11297661290322579 0.023656634949759902
22. 23. 0.09228427419354837 0.018368177488016318
23. 24. 0.07531451612903224 0.01432491849426466
24. 25. 0.05938548387096773 0.010857917969932329
25. 26. 0.05001411290322579 0.008797709172679255
26. 27. 0.039841935483870966 0.006798121144302434
27. 28. 0.03146612903225806 0.005190754874462227
28. 29. 0.026718951612903222 0.004188656537293186
29. 30. 0.024164919354838704 0.003765340500789889
30. 31. 0.019689516129032254 0.003056277045189308
31. 32. 0.015088709677419352 0.002273182900005684
32. 34. 0.012486693548387095 0.0017546483437868104
34. 36. 0.009556048387096772 0.0013081083307764786
36. 38. 0.006646774193548386 0.000891571011398579
38. 40. 0.005100403225806451 0.0006778210214716
40. 45. 0.002985887096774193 0.0003657509238449635
45. 50. 0.0016629032258064513 0.00021294751494372406
50. 60. 0.0007286290322580644 0.00008807415314161641
60. 70. 0.00029354838709677415 0.00004410855377507895
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 1.2 2.25 50
# ptlow ptup value err
0. 0.5 1.7725205645161288 0.48918120586120895
0.5 1. 5.345316129032257 1.895838007778944
1. 1.5 6.640918951612902 3.1956880963476557
1.5 2. 9.16561008064516 9.904608224752952
2. 2.5 8.31714879032258 18.074437508344314
2.5 3. 8.907188709677417 25.39389721062122
3. 3.5 9.836889112903224 31.610474749900245
3.5 4. 10.292001612903224 35.896363535716276
4. 4.5 10.297411693548385 36.185091741669744
4.5 5. 9.086789112903224 32.04620513998856
5. 5.5 8.685274596774192 30.337434906256515
5.5 6. 7.485037096774192 24.61389233186688
6. 6.5 6.81185443548387 21.502516270817164
6.5 7. 5.998702419354838 18.076312769697694
7. 7.5 5.226927016129031 15.116237549071224
7.5 8. 4.7747471774193535 12.793717963035858
8. 8.5 4.047116129032257 9.873455581590948
8.5 9. 3.436027419354838 8.125165406486245
9. 9.5 3.1651641129032257 7.1517021922369555
9.5 10. 2.4907338709677416 5.00562989392193
10. 11. 2.077919758064516 3.765533929787347
11. 12. 1.5220733870967738 2.418948418126348
12. 13. 1.1463080645161288 1.7007267384436418
13. 14. 0.8550249999999998 1.1038307203748683
14. 15. 0.6581487903225806 0.7427893963892456
15. 16. 0.44581854838709667 0.4254881446243313
16. 17. 0.386786693548387 0.39427610528645635
17. 18. 0.28455443548387094 0.27448372192010856
18. 19. 0.21442903225806448 0.15843909327807518
19. 20. 0.17436290322580641 0.1294530505100415
20. 21. 0.12503346774193547 0.06901320955300493
21. 22. 0.11067419354838708 0.0691268429100085
22. 23. 0.08018427419354837 0.04108350621155983
23. 24. 0.0663524193548387 0.0332057734808614
24. 25. 0.05330887096774192 0.025940705702503786
25. 26. 0.04291209677419354 0.016425820418408142
26. 27. 0.03674435483870967 0.01625198060850651
27. 28. 0.030501209677419348 0.011078310644402012
28. 29. 0.028586693548387093 0.0114406545918883
29. 30. 0.021927419354838704 0.010971866189700974
30. 31. 0.01826612903225806 0.008065744644329735
31. 32. 0.01623346774193548 0.0071973051135478874
32. 34. 0.012742338709677416 0.00330288522256592
34. 36. 0.00750282258064516 0.0024504457575653515
36. 38. 0.005585483870967741 0.0015979641318081155
38. 40. 0.004490725806451612 0.0009230533627076102
40. 45. 0.002672983870967742 0.0003391941619493476
45. 50. 0.0017330645161290317 0.00043334225490429133
50. 60. 0.0007104838709677419 0.00013796982451459044
60. 70. 0.00032620967741935476 0.00008390973049657782
