# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
1800. 0. 0.4 14
# ptlow ptup value err
0. 0.5 0.717741935483871 0.15725806451612903
0.5 1. 2.0403225806451615 0.28312080131519285
1. 2. 3.612903225806451 0.3734576328554301
2. 3. 4.612903225806452 0.46082553281708455
3. 4. 3.9959677419354835 0.40645881330027683
4. 5. 3.5 0.3671348270996786
5. 6. 2.810483870967742 0.30047763746066664
6. 7. 1.8709677419354838 0.21386178397058256
7. 8. 1.5725806451612903 0.18247916933846386
8. 9. 1.2056451612903225 0.1517865340703122
9. 10. 0.8911290322580645 0.12096774193548387
10. 12. 0.4838709677419355 0.06298588448311818
12. 16. 0.20967741935483872 0.025819049344487293
16. 20. 0.04435483870967742 0.009016403135079797
