# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 2. 2.5 15
# ptlow ptup value err
0. 1. 2.1411290322580645 0.4061586886094972
1. 2. 6.149193548387097 1.1105705450280368
2. 3. 8.508064516129032 1.476318657809506
3. 4. 7.431451612903226 1.249460081105753
4. 5. 7.55241935483871 1.2169873222675056
5. 6. 5.564516129032258 0.863279990102362
6. 7. 4.245967741935484 0.636394570142917
7. 8. 3.157258064516129 0.45971278867889026
8. 9. 2.560483870967742 0.36346283018790215
9. 10. 2.0201612903225805 0.2801186198864259
10. 11. 1.4274193548387095 0.20157257661209657
11. 12. 1.1814516129032258 0.1668887265046361
12. 13. 0.8185483870967742 0.12110207594904197
13. 14. 0.41935483870967744 0.07336050563975909
14. 15. 0.4516129032258064 0.07543664086237785
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 2.5 3. 15
# ptlow ptup value err
0. 1. 2.524193548387097 0.2980054228532561
1. 2. 6. 0.6798272298422324
2. 3. 7.471774193548387 0.8364773331203551
3. 4. 6.762096774193548 0.732251847351751
4. 5. 6.387096774193548 0.667213831995905
5. 6. 5.423387096774193 0.5410593195804788
6. 7. 3.838709677419355 0.3734576328554302
7. 8. 2.939516129032258 0.2758488931691463
8. 9. 2.2983870967741935 0.21370967741935484
9. 10. 1.7419354838709677 0.16389033413630302
10. 11. 1.1370967741935483 0.11304714329738859
11. 12. 0.782258064516129 0.08429252000147933
12. 13. 0.5524193548387096 0.06426361875205334
13. 14. 0.46774193548387094 0.057733149448694975
14. 15. 0.3588709677419355 0.04632711811724217
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 3. 3.5 15
# ptlow ptup value err
0. 1. 1.935483870967742 0.18127231284668566
1. 2. 4.858870967741935 0.40733790338467024
2. 3. 6.048387096774193 0.49734270465031105
3. 4. 5.721774193548387 0.45118066873223756
4. 5. 4.875 0.36890203262847354
5. 6. 3.7983870967741935 0.27362963834392817
6. 7. 2.9637096774193545 0.20956107193848844
7. 8. 2.4274193548387095 0.16959468423236362
8. 9. 1.7459677419354838 0.12934689461568902
9. 10. 1.2016129032258065 0.09727692001463561
10. 11. 0.9637096774193548 0.08322486871189634
11. 12. 0.5927419354838709 0.060752093440803887
12. 13. 0.4153225806451613 0.04938487384643504
13. 14. 0.34677419354838707 0.04361553962254826
14. 15. 0.22983870967741934 0.03468679543162349
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 3.5 4. 15
# ptlow ptup value err
0. 1. 1.6169354838709677 0.19991218155226675
1. 2. 3.762096774193548 0.39874526801168003
2. 3. 4.681451612903225 0.4352784760552278
3. 4. 4.423387096774194 0.364467952854086
4. 5. 3.411290322580645 0.26113346546277705
5. 6. 2.8467741935483866 0.2037786898144077
6. 7. 2.2983870967741935 0.16478078017502054
7. 8. 1.5443548387096773 0.11886615300793285
8. 9. 0.9959677419354838 0.09141761329640832
9. 10. 0.782258064516129 0.07500433563604142
10. 11. 0.4959677419354839 0.05829367860806839
11. 12. 0.2701612903225806 0.03846529037971555
12. 13. 0.2701612903225806 0.03846529037971555
13. 14. 0.20161290322580644 0.03349445106015353
14. 15. 0.08870967741935484 0.020560562554809616
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 4. 4.5 15
# ptlow ptup value err
0. 1. 0.9233870967741935 0.180598352230312
1. 2. 2.600806451612903 0.4130654293297711
2. 3. 2.814516129032258 0.4051165349227874
3. 4. 2.8467741935483866 0.3536913267675546
4. 5. 2.032258064516129 0.2347383802875465
5. 6. 1.8266129032258063 0.1959694012939172
6. 7. 1.189516129032258 0.13518592430838877
7. 8. 0.8709677419354839 0.10857187111158274
8. 9. 0.5483870967741935 0.0819451670681515
9. 10. 0.24596774193548385 0.0500390066370599
10. 11. 0.27419354838709675 0.05439813533561307
11. 12. 0.17338709677419353 0.041318349862740314
12. 13. 0.1129032258064516 0.0327582193735321
13. 14. 0.03225806451612903 0.016129032258064516
14. 15. 0.07258064516129033 0.024856508076487805
