# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 0. 0.4 5
# ptlow ptup value err
0. 3. 1.8134715025906738 0.1295336787564767
3. 7. 2.3154145077720205 0.1133419689119171
7. 11. 1.3163860103626943 0.06962435233160622
11. 15. 0.5229922279792747 0.032383419689119175
15. 42. 0.0582901554404145 0.003358280560353099
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 0.4 0.8 5
# ptlow ptup value err
0. 3. 1.8998272884283247 0.1295336787564767
3. 7. 2.7849740932642484 0.1295336787564767
7. 11. 1.3131476683937826 0.06800518134715025
11. 15. 0.4744170984455959 0.030764248704663214
15. 42. 0.05445212051429668 0.003118403377470735
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 0.8 1.2 5
# ptlow ptup value err
0. 3. 2.115716753022453 0.1295336787564767
3. 7. 2.5097150259067362 0.12953367875647673
7. 11. 1.300194300518135 0.06962435233160623
11. 15. 0.5003238341968913 0.03076424870466322
15. 42. 0.05133371713682595 0.0031184033774707353
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 1.2 1.6 5
# ptlow ptup value err
0. 3. 2.1373056994818644 0.12953367875647662
3. 7. 2.6068652849740923 0.11334196891191706
7. 11. 1.2273316062176163 0.06800518134715022
11. 15. 0.49384715025906717 0.03238341968911916
15. 42. 0.05253310305123774 0.0033582805603530976
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 1.6 2. 5
# ptlow ptup value err
0. 3. 1.9645941278065633 0.13385146804835926
3. 7. 2.833549222797928 0.12953367875647673
7. 11. 0.9844559585492231 0.06962435233160623
11. 15. 0.4258419689119172 0.0356217616580311
15. 42. 0.04917482249088467 0.004077912109000192
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 2. 2.4 5
# ptlow ptup value err
0. 3. 1.0254749568221073 0.13601036269430056
3. 7. 2.396373056994819 0.1781088082901555
7. 11. 1.02979274611399 0.11172279792746116
11. 15. 0.3626943005181348 0.05343264248704665
15. 42. 0.032863174054883905 0.0067165611207062
