# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 0. 2.4 16
# ptlow ptup value err
0. 1. 0.8948618307426598 0.05289291882556131
1. 2.5 2.381980426021877 0.07915947035118019
2.5 4. 2.943293033966609 0.09355210132412205
4. 5.5 2.6050662061024754 0.08635578583765112
5.5 7. 2.058146229130685 0.07196315486470926
7. 8.5 1.5256188831318365 0.057570523891767415
8.5 10. 1.0506620610247552 0.04317789291882556
10. 11.5 0.8081462291306851 0.033103051237766266
11.5 13. 0.5505181347150259 0.025187104202648244
13. 14.5 0.3734887737478411 0.018710420264824407
14.5 16. 0.27058146229130686 0.015112262521588945
16. 18. 0.20131692573402418 0.010794473229706392
18. 19.5 0.11442141623488775 0.008635578583765112
19.5 22. 0.08808290155440417 0.006044905008635579
22. 26. 0.04263816925734025 0.0029684801381692576
26. 42. 0.008500647668393783 0.0006746545768566495
