# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 0. 0.75 10
# ptlow ptup value err
10 11 4.414244618589425 0.6054238476209552
11 12 3.0552524551135796 0.3672280996014832
12 14 1.6913004662235886 0.19164447065134066
14 16 0.7638131137783949 0.08074010810484923
16 18 0.388850312469001 0.04029991680541985
18 22 0.159210395794068 0.016246740754051383
22 30 0.040769764904275356 0.004428432553427181
30 40 0.008481301458188671 0.0010427435790907962
40 60 0.0011953179248090464 0.00022836751181869527
60 100 0.00005257414938994146 0.00002184576485025815
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 0.75 1.5 10
# ptlow ptup value err
10 11 3.4718777899017947 0.674609190989755
11 12 3.010614026386271 0.40235771674153487
12 14 1.6665013391528616 0.1725277961603619
14 16 0.694375557980359 0.0737331055813833
16 18 0.34321991865886314 0.03407872906715977
18 22 0.147306814800119 0.015534629266308721
22 30 0.0353139569487154 0.0038778730501719816
30 40 0.00719174685051086 0.0009358179875068547
40 60 0.001284594782263664 0.00020389648637133677
60 100 0.00003372681281618887 0.000017323925400826284
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 1.5 2. 10
# ptlow ptup value err
10 11 3.4718777899017947 0.9630238983705781
11 12 2.5394306120424557 0.5126166125465419
12 14 1.4383493701021721 0.1663576017384031
14 16 0.6100585259398869 0.06654304069536125
16 18 0.3089971233012598 0.03772402910387147
18 22 0.1165558972324174 0.014862934295974304
22 30 0.031544489633964876 0.004393856678970359
30 40 0.005356611447277055 0.0008774826908518068
40 60 0.000471183414343815 0.00018696634088851067
60 100 0.000035710742981847035 0.00001914518308264932
