# experimental data d^2sigma/dpT/dy without global sys. uncer.
# energy ylow yup nbin
1960. 0. 0.6 26
# ptlow ptup value err
1.25 1.5 938.7296233839236 130.99326263482516
1.5 1.75 964.0247329960652 115.76332392703188
1.75 2. 941.540191118606 111.12410468504336
2. 2.25 878.3024170882519 105.85435404871546
2.25 2.5 864.2495784148398 103.36242579220513
2.5 2.75 732.1528948847667 73.93449374910571
2.75 3. 661.8887015177066 62.610088279779276
3. 3.25 549.4659921304104 42.99341917025958
3.25 3.5 469.3648116919618 39.970384073434204
3.5 3.75 396.2900505902192 30.041537839280426
3.75 4. 321.8100056211355 22.876363963040625
4. 4.25 282.4620573355818 21.815872254440734
4.25 4.5 231.8718381112985 17.382401457072767
4.5 4.75 198.1450252951096 14.671594307069352
4.75 5. 161.60764474423834 12.006750625797544
5. 5.5 125.3513209668353 7.5323739647315335
5.5 6. 87.2681281618887 5.386106772551096
6. 6.5 60.286677908937605 3.5132096683530074
6.5 7. 41.17481731309725 2.533411520140521
7. 8. 25.576166385609895 1.5711551275293631
8. 9. 12.563237774030355 0.6933050243700962
9. 10. 6.64699269252389 0.3653738055087128
10. 12. 2.866779089376054 0.1513537045287944
12. 14. 0.9696458684654301 0.050668230402810426
14. 17. 0.32321528948847666 0.019873715041780426
17. 20. 0.10961214165261382 0.011924229025068254
