# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 0. 1.2 9
# ptlow ptup value err
6.5 8. 19.733333333333334 4.764684902721504
8. 9. 11.066666666666668 1.3920408678547402
9. 10. 8.133333333333333 0.8944271909999161
10. 11. 4.906666666666667 0.5521674464226308
11. 12. 2.8933333333333335 0.40573664145874505
12. 13.5 1.8800000000000001 0.213749593891752
13.5 15. 1.0266666666666668 0.12927146286443544
15. 18. 0.4906666666666667 0.050137588471901785
18. 30. 0.08800000000000001 0.010241527663824813
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 1.2 1.6 7
# ptlow ptup value err
5.5 6.5 82.66666666666667 41.95235392680606
6.5 8. 24.933333333333334 3.2741411087489802
8. 9. 10.4 1.6599866130651646
9. 10. 7.733333333333334 1.4666666666666668
10. 12. 3.52 0.5132900414645376
12. 15. 1.4533333333333334 0.2602562839459085
15. 30. 0.17600000000000002 0.02366431913239847
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 1.6 2.4 7
# ptlow ptup value err
5.5 6.5 57.333333333333336 26.599916457680006
6.5 8. 24.666666666666668 4.6303347611160905
8. 9. 10.4 1.8571184369578828
9. 10. 6.533333333333334 1.4422205101855958
10. 12. 2.92 0.5234076380370807
12. 15. 1.2 0.18903262505010437
15. 30. 0.12400000000000003 0.019955506062794354
