# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 2. 4.5 12
# ptlow ptup value err
0 1 75.2 14.88086019019062
1 2 154.8 28.377455840860716
2 3 126.80000000000001 20.63395260244629
3 4 89.60000000000001 14.647866738880445
4 5 54. 8.4
5 6 30.8 4.6303347611160905
6 7 18.400000000000002 2.5922962793631443
7 8 10. 1.4966629547095767
8 9 5.6000000000000005 0.9797958971132713
9 10 3.3200000000000003 0.4833218389437829
10 12 1.72 0.41182520563948005
12 16 0.6000000000000001 0.12000000000000002
