# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
1960. 0. 0.6 25
# ptlow ptup value err
2. 2.5 105.88888888888891 13.91553000458991
2.5 3. 105.11111111111113 11.211215724652318
3. 3.5 95.11111111111113 10.02773930432755
3.5 4. 70.00000000000001 7.066701607181266
4. 4.5 53.66666666666668 5.632796380282924
4.5 5. 42.555555555555564 4.473516030932755
5. 5.5 27.55555555555556 2.6712922844825133
5.5 6. 22.66666666666667 2.213873205019031
6. 6.5 15.888888888888893 1.511274500970605
6.5 7. 12.333333333333336 1.1600340565456169
7. 7.5 8.566666666666668 0.8401205086984859
7.5 8. 6.644444444444446 0.654141601312668
8. 8.5 4.677777777777779 0.47271216413739225
8.5 9. 3.3888888888888897 0.3329627569727045
9. 9.5 2.422222222222223 0.24393887111222393
9.5 10. 1.9111111111111114 0.2003084041924439
10. 11. 1.266666666666667 0.12627620129044778
11. 12. 0.857777777777778 0.09033545166301266
12. 13. 0.5066666666666667 0.05761729849984078
13. 14. 0.31666666666666676 0.03931512447323141
14. 15. 0.2144444444444445 0.028458329944146
15. 17.5 0.09444444444444446 0.01266861583443487
17.5 20. 0.038888888888888896 0.0074535599249993005
20. 25. 0.01666666666666667 0.003513641844631533
25. 30. 0.00588888888888889 0.0019404721329525539
