# experimental data d^2sigma/dpT/dy with global syst. uncer.
# energy ylow yup nbin
1960 0 0.6 26
# ptlow ptup value err
1.25 1.5 938.7296233839236 146.13244473667808
1.5 1.75 964.0247329960652 133.51311716405493
1.75 2. 941.540191118606 128.72133969891811
2. 2.25 878.3024170882519 121.97479958136788
2.25 2.5 864.2495784148398 119.33110282664947
2.5 2.75 732.1528948847667 89.54570472379793
2.75 3. 661.8887015177066 77.49710523801325
3. 3.25 549.4659921304104 57.32225830341602
3.25 3.5 469.3648116919618 51.44410306564145
3.5 3.75 396.2900505902192 40.62251924154724
3.75 4. 321.8100056211355 31.880796497363548
4. 4.25 282.4620573355818 29.253850701863833
4.25 4.5 231.8718381112985 23.62458252912692
4.5 4.75 198.1450252951096 20.0544121817736
4.75 5. 161.60764474423834 16.38612963509938
5. 5.5 125.3513209668353 11.469351767146
5.5 6. 87.2681281618887 8.07889958902954
6. 6.5 60.286677908937605 5.444852456755026
6.5 7. 41.17481731309725 3.8065482343472374
7. 8. 25.576166385609895 2.362814072476831
8. 9. 12.563237774030355 1.1100108207518813
9. 10. 6.64699269252389 0.5863880598128097
10. 12. 2.866779089376054 0.24906997544868342
12. 14. 0.9696458684654301 0.08392630213447513
14. 17. 0.32321528948847666 0.029872015078910547
17. 20. 0.10961214165261382 0.014120545438077095
