# experimental data d^2sigma/dpT/dy [CMS_pp_1111.1557]
# energy ylow yup nbin
7000. 0. 0.9 10
# ptlow ptup value err
8. 9. 42.83305227655986 2.2936712493651674
9. 10. 26.30691399662732 1.8929126745905267
10. 11. 16.188870151770658 1.011804384485666
11. 12. 10.320404721753793 0.6184526415140724
12. 13.5 5.919055649241146 0.33768945016021557
13.5 15. 3.102866779089376 0.159980320075972
15. 18. 1.4182124789207418 0.0746003249935739
18. 30. 0.23440134907251262 0.013595712897636678
30. 45. 0.013153456998313658 0.0008762483006250645
45. 70. 0.0011804384485666105 0.00031413045548393185
# experimental data d^2sigma/dpT/dy [CMS_pp_1111.1557]
# energy ylow yup nbin
7000. 0.9 1.2 6
# ptlow ptup value err
8. 9. 44.18212478920742 3.3259836295642526
9. 10. 26.138279932546375 2.4144723546840394
10. 12. 12.647554806070826 0.9081222271727662
12. 15. 4.182124789207419 0.29450673181404685
15. 30. 0.44519392917369305 0.024203541474548607
30. 45. 0.011298482293423272 0.001410893805285119
# experimental data d^2sigma/dpT/dy [CMS_pp_1111.1557]
# energy ylow yup nbin
7000. 1.2 1.6 11
# ptlow ptup value err
6.5 7. 119.56155143338954 10.146110594597856
7. 7.5 89.03878583473862 5.688744618358516
7.5 8. 70.15177065767284 4.426443422734127
8. 8.5 49.24114671163575 3.1276959512633065
8.5 9. 37.77403035413153 2.988203228780666
9. 10. 24.78920741989882 1.581927743616671
10. 11. 14.165261382799324 0.7909638718083355
11. 12. 8.903878583473862 0.5505844086783982
12. 15. 3.8279932546374367 0.21987191923111798
15. 30. 0.39123102866779086 0.020994771666085554
30. 45. 0.013490725126475547 0.0017605913168483223
# experimental data d^2sigma/dpT/dy [CMS_pp_1111.1557]
# energy ylow yup nbin
7000. 1.6 2.1 11
# ptlow ptup value err
6.5 7. 129.84822934232716 10.79784862973499
7. 7.25 96.62731871838112 8.573844059956938
7.25 7.5 84.99156829679595 7.484769315741027
7.5 8. 63.40640809443507 5.2385243059052495
8. 8.5 45.02529510961214 3.4187411353648045
8.5 9. 36.76222596964587 2.628744901875193
9. 10. 25.29510961214165 1.581927743616671
10. 11. 14.165261382799324 0.9832971154882462
11. 12. 8.63406408094435 0.6193715909681942
12. 15. 3.9123102866779087 0.2601559632469057
15. 30. 0.3709949409780775 0.023728916154250067
# experimental data d^2sigma/dpT/dy [CMS_pp_1111.1557]
# energy ylow yup nbin
7000. 2.1 2.4 6
# ptlow ptup value err
5.5 8. 88.70151770657672 7.884431519434036
8. 9. 42.49578414839797 4.636670180393767
9. 10. 21.922428330522767 2.644921946266125
10. 12. 11.129848229342327 1.450645070327593
12. 15. 3.4907251264755477 0.36714234497600745
15. 30. 0.28836424957841483 0.0300717613830135
