# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 0. 0.75 14
# ptlow ptup value err
7. 7.5 114.67116357504214 76.05377594455096
7.5 8. 99.49409780775717 49.0490373431669
8. 8.5 55.64924114671163 23.48800721278941
8.5 9. 43.84485666104553 16.947513694976205
9. 9.5 37.09949409780776 16.34967911438897
9.5 10. 25.29510961214165 9.23646808609049
10. 11. 17.53794266441821 5.76817247099058
11. 12. 11.973018549747048 3.5130972438447987
12. 14. 5.733558178752108 1.517706576728499
14. 16. 2.7487352445193927 0.6854098291029198
16. 18. 1.281618887015177 0.3040093824168625
18. 22. 0.5902192242833052 0.13170741443350176
22. 30. 0.1315345699831366 0.027295807852004462
30. 70. 0.006745362563237774 0.002384845805013651
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 0.75 1.5 18
# ptlow ptup value err
5. 5.5 369.3086003372681 185.35944581328621
5.5 6. 283.3052276559865 143.10068481333414
6. 6.5 185.4974704890388 102.02012453459812
6.5 7. 155.1433389544688 56.38534063170484
7. 7.5 106.23946037099493 32.78620926681885
7.5 8. 84.31703204047217 23.183350901968833
8. 8.5 53.96290050590219 24.37914383608931
8.5 9. 47.217537942664414 14.797579068114876
9. 9.5 35.413153456998316 9.23646808609049
9.5 10. 26.475548060708263 6.00962215217722
10. 11. 17.875210792580102 3.849144084490161
11. 12. 11.298482293423271 2.4841348840904276
12. 14. 5.733558178752108 1.2276745175852475
14. 16. 2.5126475548060707 0.5047767132241405
16. 18. 1.1129848229342327 0.20994771666085552
18. 22. 0.47217537942664417 0.09081222271727662
22. 30. 0.12310286677908937 0.023366621350001716
30. 70. 0.006745362563237774 0.002384845805013651
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 1.5 2. 19
# ptlow ptup value err
1. 4. 2175.379426644182 4186.236623037575
4. 5. 524.451939291737 928.7895197455202
5. 5.5 232.7150084317032 239.13951379929898
5.5 6. 198.98819561551434 198.11452529782622
6. 6.5 177.06576728499155 140.5744724881445
6.5 7. 116.3575042158516 73.29279531905811
7. 7.5 86.0033726812816 44.296544811344674
7.5 8. 67.45362563237774 31.907062273903037
8. 8.5 50.5902192242833 21.12978766634345
8.5 9. 38.7858347386172 12.95302824261148
9. 9.5 27.15008431703204 8.408061289927764
9.5 10. 19.89881956155143 5.9787851268923555
10. 11. 14.502529510961214 3.9799068199682783
11. 12. 8.600337268128161 2.099477166608555
12. 14. 4.384485666104553 0.9976525772511999
14. 16. 1.8887015177065767 0.3632488908691065
16. 18. 0.8431703204047217 0.17686489851098675
18. 22. 0.4384485666104553 0.07909638718083355
22. 30. 0.07082630691399662 0.01536329439990607
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 2. 2.4 13
# ptlow ptup value err
5. 6. 193.929173693086 212.57927446257196
6. 7. 94.43507588532883 57.45944363372958
7. 7.5 59.02192242833052 40.96107184314037
7.5 8. 52.27655986509275 38.638918169948056
8. 8.5 35.413153456998316 13.80329303857074
8.5 9. 26.981450252951095 9.687289454532932
9. 9.5 18.54974704890388 5.59295917429241
9.5 10. 15.345699831365936 6.170716513838782
10. 11. 10.286677908937605 3.826915925096194
11. 12. 7.082630691399662 2.2936712493651674
12. 14. 3.541315345699831 0.9687289454532931
14. 18. 1.3322091062394603 0.2623330385515016
18. 30. 0.13490725126475547 0.029208276687502144
