# experimental data d^2sigma/dpT/dy [LHCb_pp_1103.0423]
# energy ylow yup nbin
7000. 2. 2.5 14
# ptlow ptup value err
0. 1. 1091. 276.9693123795486
1. 2. 1495. 346.08813906286935
2. 3. 1225. 196.27786426390523
3. 4. 777. 112.5433249908674
4. 5. 424. 60.4648658313239
5. 6. 230. 32.55764119219941
6. 7. 116. 16.278820596099706
7. 8. 64. 8.602325267042627
8. 9. 37. 5.196152422706632
9. 10. 19.3 2.7386127875258306
10. 11. 11.6 1.6093476939431082
11. 12. 6.7 1.004987562112089
12. 13. 4.6 0.7
13. 14. 2.9 0.5099019513592785
# experimental data d^2sigma/dpT/dy [LHCb_pp_1103.0423]
# energy ylow yup nbin
7000. 2.5 3. 14
# ptlow ptup value err
0. 1. 844. 173.72104075212076
1. 2. 1490. 201.1815100847988
2. 3. 1214. 162.0401184892186
3. 4. 719. 96.87620966986684
4. 5. 392. 53.45091205957107
5. 6. 206. 28.231188426986208
6. 7. 104. 14.594519519326424
7. 8. 57. 7.681145747868608
8. 9. 31. 4.242640687119285
9. 10. 17.4 2.362202362203543
10. 11. 9.8 1.3638181696985856
11. 12. 5.9 0.8602325267042628
12. 13. 3.5 0.5477225575051661
13. 14. 2.6 0.37416573867739417
# experimental data d^2sigma/dpT/dy [LHCb_pp_1103.0423]
# energy ylow yup nbin
7000. 3. 3.5 14
# ptlow ptup value err
0. 1. 749. 109.38921336219582
1. 2. 1376. 184.0217378463751
2. 3. 1053. 140.46707799338606
3. 4. 611. 82.35289915965315
4. 5. 325. 44.034077712607996
5. 6. 167. 22.64950330581225
6. 7. 82. 11.445523142259598
7. 8. 44. 6.164414002968976
8. 9. 23. 3.3166247903554
9. 10. 12.6 1.74928556845359
10. 11. 7.8 1.0488088481701516
11. 12. 4.5 0.6782329983125268
12. 13. 2.9 0.45825756949558405
13. 14. 1.3 0.30000000000000004
# experimental data d^2sigma/dpT/dy [LHCb_pp_1103.0423]
# energy ylow yup nbin
7000. 3.5 4. 13
# ptlow ptup value err
0. 1. 614. 84.41563836162112
1. 2. 1101. 146.9795904198947
2. 3. 839. 112.77411050414008
3. 4. 471. 63.474404290233394
4. 5. 244. 32.89376840679705
5. 6. 119. 16.881943016134134
6. 7. 59. 8.306623862918075
7. 8. 29. 4.242640687119285
8. 9. 15.9 2.1610182784974308
9. 10. 8.2 1.174734012447073
10. 11. 4.9 0.6782329983125268
11. 12. 2.6 0.37416573867739417
12. 13. 1.2 0.24494897427831783
# experimental data d^2sigma/dpT/dy [LHCb_pp_1103.0423]
# energy ylow yup nbin
7000. 4. 4.5 11
# ptlow ptup value err
0. 1. 447. 65.49809157525127
1. 2. 807. 110.82418508610834
2. 3. 588. 81.26499861564018
3. 4. 315. 44.45222154178574
4. 5. 163. 23.
5. 6. 76. 10.63014581273465
6. 7. 34. 4.839421453025144
7. 8. 17. 2.533771891863985
8. 9. 8.5 1.2727922061357855
9. 10. 4.1 0.6164414002968976
10. 11. 2.2 0.37416573867739417
