# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 2. 2.5 14
# ptlow ptup value err
0. 1. 1282. 325.89262035216444
1. 2. 1751. 406.027092692101
2. 3. 1438. 230.90474226399076
3. 4. 932. 134.56225325105106
4. 5. 513. 73.49829930005184
5. 6. 278. 40.124805295477756
6. 7. 140. 20.46948949045872
7. 8. 76. 10.954451150103322
8. 9. 44. 6.164414002968976
9. 10. 23. 3.3166247903554
10. 11. 13.5 1.9390719429665317
11. 12. 7.7 1.118033988749895
12. 13. 5.2 0.787400787401181
13. 14. 3.3 0.5099019513592785
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 2.5 3. 14
# ptlow ptup value err
0. 1. 1058. 217.74296773948865
1. 2. 1791. 241.1016383187804
2. 3. 1423. 190.39170149982903
3. 4. 839. 113.18568814121333
4. 5. 455. 61.741396161732524
5. 6. 238. 33.37663853655727
6. 7. 120. 16.881943016134134
7. 8. 64. 8.602325267042627
8. 9. 34. 5.196152422706632
9. 10. 19.3 2.6758176320519307
10. 11. 10.9 1.4594519519326423
11. 12. 6.4 0.8602325267042628
12. 13. 3.8 0.5916079783099616
13. 14. 2.8 0.45825756949558405
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 3. 3.5 14
# ptlow ptup value err
0. 1. 924. 134.5399568901373
1. 2. 1603. 214.48776188864483
2. 3. 1182. 157.56268593801008
3. 4. 675. 90.39358384310249
4. 5. 358. 48.14561246884289
5. 6. 184. 24.819347291981714
6. 7. 91. 12.409673645990857
7. 8. 49. 6.4031242374328485
8. 9. 25. 3.3166247903554
9. 10. 13.7 1.8708286933869707
10. 11. 8.5 1.174734012447073
11. 12. 4.9 0.6782329983125268
12. 13. 3.1 0.45825756949558405
13. 14. 1.4 0.30000000000000004
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 3.5 4. 13
# ptlow ptup value err
0. 1. 728. 99.9699954986495
1. 2. 1246. 166.24078921853084
2. 3. 913. 121.97130810153674
3. 4. 505. 68.5638388656878
4. 5. 262. 36.02776706930364
5. 6. 128. 17.832554500127006
6. 7. 63. 8.306623862918075
7. 8. 32. 4.242640687119285
8. 9. 17.1 2.3853720883753127
9. 10. 8.8 1.268857754044952
10. 11. 5.2 0.7681145747868608
11. 12. 2.8 0.45825756949558405
12. 13. 1.3 0.24494897427831783
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 4. 4.5 11
# ptlow ptup value err
0. 1. 530. 77.62087348130012
1. 2. 902. 123.17061337835418
2. 3. 631. 86.6083136886985
3. 4. 334. 46.65833258915282
4. 5. 172. 24.228082879171435
5. 6. 79. 11.575836902790225
6. 7. 36. 5.477225575051661
7. 8. 18.3 2.6248809496813372
8. 9. 8.9 1.3601470508735443
9. 10. 4.3 0.6164414002968976
10. 11. 2.4 0.37416573867739417
