# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 2. 2.5 14
# ptlow ptup value err
0. 1. 839. 213.3377603707323
1. 2. 1157. 268.7210449518236
2. 3. 945. 151.44966160411187
3. 4. 583. 84.15461959987698
4. 5. 315. 45.12205669071391
5. 6. 171. 24.879710609249457
6. 7. 87. 13.152946437965905
7. 8. 48. 6.4031242374328485
8. 9. 29. 4.242640687119285
9. 10. 14.9 2.1
10. 11. 9.1 1.3
11. 12. 5.3 0.787400787401181
12. 13. 3.7 0.5477225575051661
13. 14. 2.3 0.37416573867739417
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 2.5 3. 14
# ptlow ptup value err
0. 1. 601. 123.11782974045636
1. 2. 1114. 150.10329776523898
2. 3. 938. 125.64234954823155
3. 4. 559. 75.41883053985921
4. 5. 307. 42.08325082500163
5. 6. 163. 22.891046284519195
6. 7. 83. 11.445523142259598
7. 8. 46. 6.4031242374328485
8. 9. 25. 3.3166247903554
9. 10. 14.5 1.9519221295943134
10. 11. 8.3 1.14455231422596
11. 12. 5. 0.7681145747868608
12. 13. 3. 0.45825756949558405
13. 14. 2.3 0.37416573867739417
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 3. 3.5 14
# ptlow ptup value err
0. 1. 543. 79.35993951610598
1. 2. 1073. 143.71499573809268
2. 3. 865. 115.22586515188333
3. 4. 514. 69.
4. 5. 274. 36.932370625238775
5. 6. 140. 19.519221295943137
6. 7. 70. 9.539392014169456
7. 8. 38. 5.196152422706632
8. 9. 19.8 2.649528259898354
9. 10. 10.8 1.4594519519326423
10. 11. 6.7 0.9539392014169457
11. 12. 4. 0.5477225575051661
12. 13. 2.5 0.45825756949558405
13. 14. 1.2 0.24494897427831783
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 3.5 4. 13
# ptlow ptup value err
0. 1. 468. 65.58200972827838
1. 2. 892. 119.46966142079754
2. 3. 721. 96.46761114488116
3. 4. 415. 56.37375275782161
4. 5. 215. 28.930952282978865
5. 6. 104. 14.594519519326424
6. 7. 51. 7.3484692283495345
7. 8. 26. 3.3166247903554
8. 9. 13.9 1.8708286933869707
9. 10. 7.1 0.9539392014169457
10. 11. 4.3 0.6403124237432849
11. 12. 2.3 0.37416573867739417
12. 13. 1. 0.17320508075688776
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 4. 4.5 11
# ptlow ptup value err
0. 1. 341. 49.8196748283246
1. 2. 667. 91.15371632577578
2. 3. 517. 71.05631569396206
3. 4. 282. 39.42080668885405
4. 5. 148. 20.97617696340303
5. 6. 69. 9.695359714832659
6. 7. 31. 4.242640687119285
7. 8. 15.8 2.293468988235943
8. 9. 7.6 1.118033988749895
9. 10. 3.6 0.6164414002968976
10. 11. 2. 0.37416573867739417
