# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
8000. 2. 2.5 14
# ptlow ptup value err
0. 1. 727.45 59.58789893929807
1. 2. 1463.31 107.96734969424784
2. 3. 1237.49 92.32198492233582
3. 4. 761.17 58.782556936560695
4. 5. 432.67 37.59273068027913
5. 6. 231.63 17.058845212967963
6. 7. 126.5 9.499026265886416
7. 8. 68.05 5.373983624835491
8. 9. 39.23 3.460939178893498
9. 10. 22.04 1.789525076661403
10. 11. 13.6 1.1467344941179716
11. 12. 8.06 0.6838859554048468
12. 13. 5.26 0.48249352327259276
13. 14. 3.3 0.36138621999185305
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
8000. 2.5 3. 14
# ptlow ptup value err
0. 1. 772.4 57.06394308142402
1. 2. 1473.44 106.8877205295351
2. 3. 1196.41 88.43736201402663
3. 4. 738.03 53.82408104185337
4. 5. 408.62 30.136497805816784
5. 6. 217.04 16.425766344374928
6. 7. 116.27 9.448629530254639
7. 8. 63.25 4.717690112756454
8. 9. 34.85 2.6881220210399674
9. 10. 19.54 1.5287249589118377
10. 11. 11.59 0.9508943158942532
11. 12. 7.29 0.6539877674696982
12. 13. 4.31 0.35397740040855713
13. 14. 2.94 0.2619160170741759
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
8000. 3. 3.5 14
# ptlow ptup value err
0. 1. 727.58 53.46014029162288
1. 2. 1357.44 98.20148929624233
2. 3. 1083.4 78.48086327252014
3. 4. 651.06 47.27313507691234
4. 5. 359.82 26.258133977874362
5. 6. 183.07 13.51818404964217
6. 7. 97.25 7.249972413740621
7. 8. 51.21 3.923187479588504
8. 9. 27.34 2.2370739817896057
9. 10. 15.08 1.3261975720080323
10. 11. 8.88 0.7032780389006897
11. 12. 5.03 0.41725292090050126
12. 13. 3.3 0.295296461204668
13. 14. 2.09 0.20663978319771825
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
8000. 3.5 4. 14
# ptlow ptup value err
0. 1. 670.5 48.83860051229969
1. 2. 1213.97 89.75122283289515
2. 3. 926.23 67.01009252344008
3. 4. 542.09 39.395007297879765
4. 5. 284.82 20.80408613710297
5. 6. 146.41 10.805281116194987
6. 7. 73.68 5.509346603727161
7. 8. 37.39 2.8580412873154932
8. 9. 20.05 1.5824032355881985
9. 10. 11.04 0.9233634170791044
10. 11. 6.24 0.5664803615307419
11. 12. 3.85 0.3693237062523878
12. 13. 2.23 0.21213203435596426
13. 14. 1.49 0.15394804318340652
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
8000. 4. 4.5 14
# ptlow ptup value err
0. 1. 579.84 42.703088881250736
1. 2. 1003.19 73.01763964960796
2. 3. 753.31 54.73922359697843
3. 4. 418.29 30.590591690910458
4. 5. 204.28 15.071197696268204
5. 6. 96.52 7.525330557523703
6. 7. 48.4 3.700986355014025
7. 8. 23.95 1.914810695604137
8. 9. 11.83 0.9950879358127099
9. 10. 6.64 0.6007495318350236
10. 11. 3.4 0.33541019662496846
11. 12. 2.05 0.22825424421026658
12. 13. 1.04 0.11789826122551596
13. 14. 0.45 0.06999999999999999
